id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,popularity,year
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.04,0.06,79,2022
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.78,0.05,66,2021
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.07,78,2019
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.82,0.04,64,2020
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,0.08,85,2023
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.88,0.04,49,2018
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.42,0.09,53,2017
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.72,0.05,71,2021
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.80,0.04,70,2022
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.07,74,2023
11,City Lights Freestyle,Block Avenue,hip-hop,energetic,0.85,95,0.72,0.91,0.08,0.05,0.82,88,2024
12,Golden Hour,Velvet Jones,r&b,romantic,0.58,88,0.78,0.70,0.42,0.08,0.18,76,2022
13,Moonlight Revisited,Clara Voss,classical,peaceful,0.18,52,0.55,0.22,0.97,0.93,0.04,45,2016
14,Iron Horizon,Krakenfire,metal,angry,0.96,168,0.30,0.58,0.07,0.12,0.08,62,2020
15,Dusty Road Home,The Pine Ridge Band,country,nostalgic,0.52,96,0.68,0.61,0.74,0.15,0.10,58,2019
16,Rainy Delta Blues,Hound and Rail,blues,melancholic,0.38,68,0.32,0.44,0.88,0.22,0.12,42,2015
17,Groove Machine,Funksmith,funk,uplifting,0.88,112,0.90,0.93,0.14,0.35,0.22,55,2018
18,Crystal Drift,Nova Sleep,electronic,dreamy,0.55,102,0.74,0.66,0.11,0.62,0.04,68,2023
19,Island Morning,Coral Roots,reggae,peaceful,0.46,76,0.82,0.67,0.65,0.18,0.15,51,2017
20,Porch Song,Ember and Ash,folk,nostalgic,0.29,84,0.63,0.38,0.91,0.20,0.14,47,2016
